draw,chain,district,total_pop,plan_dev,comp_edge,comp_polsby,nv_ldp,nv_komei,nv_ruling,nv_cdp,nv_opp_coalition_4,nv_opp_coalition_5,nv_opp_all,ldp_share,komei_share,ruling_share,ldp_v_komei,ldp_v_cdp,ruling_v_cdp,ruling_v_opp_coalition_4,ruling_v_opp_coalition_5,ruling_v_opp_all,seats_ldp_v_cdp,seats_ruling_v_cdp,seats_ruling_v_opp_coalition_4,seats_ruling_v_opp_coalition_5,seats_ruling_v_opp_all,egap_ldp_v_cdp,egap_ruling_v_cdp,egap_ruling_v_opp_coalition_4,egap_ruling_v_opp_coalition_5,egap_ruling_v_opp_all,pbias_ldp_v_cdp,pbias_ruling_v_cdp,pbias_ruling_v_opp_coalition_4,pbias_ruling_v_opp_coalition_5,pbias_ruling_v_opp_all,mun_split,gun_split,koiki_split,max_to_min
14,1,5,335828,0.16920,0.8583,0.09771, 61110,21130, 82240,21664,43328,53095, 67905,0.3888,0.1344,0.5233,0.7431,0.7383,0.7915,0.6550,0.6077,0.5477,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.353
14,1,6,423516,0.16920,0.8583,0.07522, 99599,35907,135506,32892,59736,84645,108615,0.3916,0.1412,0.5327,0.7350,0.7518,0.8047,0.6941,0.6155,0.5551,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.353
17,1,1,357839,0.24747,0.8542,0.22216, 59948,23677, 83625,18639,37470,45438, 61284,0.3927,0.1551,0.5478,0.7169,0.7629,0.8178,0.6906,0.6480,0.5771,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.620
17,1,2,415690,0.24747,0.8542,0.14780, 75511,31434,106945,27925,57566,68479, 91322,0.3623,0.1508,0.5131,0.7061,0.7300,0.7930,0.6501,0.6096,0.5394,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.620
17,1,3,340163,0.24747,0.8542,0.05030, 70174,24489, 94663,20084,38394,47788, 63202,0.4236,0.1478,0.5714,0.7413,0.7775,0.8250,0.7115,0.6645,0.5997,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.620
17,1,4,281579,0.24747,0.8542,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.620
17,1,5,393693,0.24747,0.8542,0.08109, 61961,18866, 80827,20744,43147,52680, 69089,0.3921,0.1194,0.5115,0.7666,0.7492,0.7958,0.6520,0.6054,0.5391,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.620
17,1,6,456101,0.24747,0.8542,0.08577, 81768,28080,109848,28774,56663,72131, 93030,0.3847,0.1321,0.5168,0.7444,0.7397,0.7924,0.6597,0.6036,0.5415,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.620
22,1,1,281579,0.24747,0.8625,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
22,1,2,333547,0.24747,0.8625,0.06362, 70127,23256, 93383,21959,43389,53415, 69434,0.4109,0.1363,0.5472,0.7510,0.7616,0.8096,0.6828,0.6361,0.5736,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
22,1,3,460562,0.24747,0.8625,0.06784, 77140,28050,105190,27645,53915,68663, 88735,0.3791,0.1379,0.5170,0.7334,0.7362,0.7919,0.6611,0.6051,0.5424,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
22,1,4,312500,0.24747,0.8625,0.18050, 40337,12900, 53237,15025,31428,37886, 50117,0.3692,0.1181,0.4873,0.7577,0.7286,0.7799,0.6288,0.5842,0.5151,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
22,1,5,397358,0.24747,0.8625,0.09338, 73418,30226,103644,25397,51947,62075, 83849,0.3724,0.1533,0.5256,0.7084,0.7430,0.8032,0.6661,0.6254,0.5528,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
22,1,6,459519,0.24747,0.8625,0.09836, 88340,32113,120453,26141,52561,64475, 85792,0.4075,0.1481,0.5556,0.7334,0.7717,0.8217,0.6962,0.6514,0.5840,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
24,1,1,281579,0.24747,0.8625,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
24,1,2,333547,0.24747,0.8625,0.06362, 70127,23256, 93383,21959,43389,53415, 69434,0.4109,0.1363,0.5472,0.7510,0.7616,0.8096,0.6828,0.6361,0.5736,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
24,1,3,460562,0.24747,0.8625,0.06784, 77140,28050,105190,27645,53915,68663, 88735,0.3791,0.1379,0.5170,0.7334,0.7362,0.7919,0.6611,0.6051,0.5424,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
24,1,4,312500,0.24747,0.8625,0.18050, 40337,12900, 53237,15025,31428,37886, 50117,0.3692,0.1181,0.4873,0.7577,0.7286,0.7799,0.6288,0.5842,0.5151,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
24,1,5,397358,0.24747,0.8625,0.09338, 73418,30226,103644,25397,51947,62075, 83849,0.3724,0.1533,0.5256,0.7084,0.7430,0.8032,0.6661,0.6254,0.5528,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
24,1,6,459519,0.24747,0.8625,0.09836, 88340,32113,120453,26141,52561,64475, 85792,0.4075,0.1481,0.5556,0.7334,0.7717,0.8217,0.6962,0.6514,0.5840,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
25,1,1,281579,0.24747,0.8625,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
25,1,2,333547,0.24747,0.8625,0.06362, 70127,23256, 93383,21959,43389,53415, 69434,0.4109,0.1363,0.5472,0.7510,0.7616,0.8096,0.6828,0.6361,0.5736,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
25,1,3,460562,0.24747,0.8625,0.06784, 77140,28050,105190,27645,53915,68663, 88735,0.3791,0.1379,0.5170,0.7334,0.7362,0.7919,0.6611,0.6051,0.5424,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
25,1,4,312500,0.24747,0.8625,0.18050, 40337,12900, 53237,15025,31428,37886, 50117,0.3692,0.1181,0.4873,0.7577,0.7286,0.7799,0.6288,0.5842,0.5151,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
25,1,5,397358,0.24747,0.8625,0.09338, 73418,30226,103644,25397,51947,62075, 83849,0.3724,0.1533,0.5256,0.7084,0.7430,0.8032,0.6661,0.6254,0.5528,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
25,1,6,459519,0.24747,0.8625,0.09836, 88340,32113,120453,26141,52561,64475, 85792,0.4075,0.1481,0.5556,0.7334,0.7717,0.8217,0.6962,0.6514,0.5840,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000,-0.1667, 0.0000, 0.0000, 0.0000,1,1,1,1.636
27,1,1,385430,0.17434,0.8417,0.09112, 73163,29267,102430,25987,53621,64048, 85119,0.3715,0.1486,0.5202,0.7143,0.7379,0.7977,0.6564,0.6153,0.5462,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000,0,1,1,1.345
27,1,2,415613,0.17434,0.8417,0.12593, 70027,28112, 98138,22733,45718,55190, 74500,0.3849,0.1545,0.5394,0.7136,0.7550,0.8120,0.6822,0.6401,0.5685,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000,0,1,1,1.345
27,1,3,308942,0.17434,0.8417,0.12700, 61671,24399, 86070,22621,40763,60628, 76774,0.3629,0.1436,0.5065,0.7165,0.7317,0.7919,0.6786,0.5867,0.5285,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000,0,1,1,1.345
27,1,4,393693,0.17434,0.8417,0.08109, 61961,18866, 80827,20744,43147,52680, 69089,0.3921,0.1194,0.5115,0.7666,0.7492,0.7958,0.6520,0.6054,0.5391,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000,0,1,1,1.345
27,1,5,392459,0.17434,0.8417,0.04254, 83581,29181,112762,24254,46608,58072, 76203,0.4219,0.1473,0.5692,0.7413,0.7751,0.8230,0.7076,0.6601,0.5967,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000,0,1,1,1.345
27,1,6,348928,0.17434,0.8417,0.05776, 73123,24106, 97229,24370,47326,58489, 75691,0.4049,0.1335,0.5384,0.7521,0.7501,0.7996,0.6726,0.6244,0.5623,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.1667, 0.0000, 0.0000, 0.0000,0,1,1,1.345
41,1,1,415690,0.14438,0.8542,0.14780, 75511,31434,106945,27925,57566,68479, 91322,0.3623,0.1508,0.5131,0.7061,0.7300,0.7930,0.6501,0.6096,0.5394,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.324
41,1,2,404892,0.14438,0.8542,0.10068, 93606,33369,126976,31271,56598,80768,103620,0.3895,0.1389,0.5284,0.7372,0.7496,0.8024,0.6917,0.6112,0.5506,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.324
41,1,3,340163,0.14438,0.8542,0.05030, 70174,24489, 94663,20084,38394,47788, 63202,0.4236,0.1478,0.5714,0.7413,0.7775,0.8250,0.7115,0.6645,0.5997,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.324
41,1,4,332788,0.14438,0.8542,0.08400, 62326,22096, 84421,22045,44008,53956, 68859,0.3885,0.1377,0.5262,0.7383,0.7387,0.7930,0.6573,0.6101,0.5508,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.324
41,1,5,323331,0.14438,0.8542,0.14275, 48521,14721, 63242,16906,35551,43234, 56606,0.3837,0.1164,0.5001,0.7672,0.7416,0.7891,0.6401,0.5940,0.5277,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.324
41,1,6,428201,0.14438,0.8542,0.13131, 73389,27821,101209,22477,45065,54883, 73767,0.3983,0.1510,0.5494,0.7251,0.7656,0.8183,0.6919,0.6484,0.5784,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.1667, 0.0000, 0.1667, 0.1667,0,1,1,1.324
50,1,1,385430,0.24747,0.8583,0.09112, 73163,29267,102430,25987,53621,64048, 85119,0.3715,0.1486,0.5202,0.7143,0.7379,0.7977,0.6564,0.6153,0.5462,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840,-0.1667, 0.0000, 0.0000, 0.1667, 0.0000,1,1,1,1.476
50,1,2,415613,0.24747,0.8583,0.12593, 70027,28112, 98138,22733,45718,55190, 74500,0.3849,0.1545,0.5394,0.7136,0.7550,0.8120,0.6822,0.6401,0.5685,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840,-0.1667, 0.0000, 0.0000, 0.1667, 0.0000,1,1,1,1.476
50,1,3,414180,0.24747,0.8583,0.09258, 68729,21336, 90066,22527,46519,56924, 74624,0.3964,0.1231,0.5195,0.7631,0.7532,0.7999,0.6594,0.6127,0.5469,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840,-0.1667, 0.0000, 0.0000, 0.1667, 0.0000,1,1,1,1.476
50,1,4,376446,0.24747,0.8583,0.04579, 76151,26484,102635,22620,43552,54194, 71080,0.4178,0.1453,0.5630,0.7420,0.7710,0.8194,0.7021,0.6545,0.5908,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840,-0.1667, 0.0000, 0.0000, 0.1667, 0.0000,1,1,1,1.476
50,1,5,371817,0.24747,0.8583,0.09455, 61293,21346, 82638,22299,43829,56158, 72603,0.3764,0.1311,0.5075,0.7417,0.7333,0.7875,0.6534,0.5954,0.5323,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840,-0.1667, 0.0000, 0.0000, 0.1667, 0.0000,1,1,1,1.476
50,1,6,281579,0.24747,0.8583,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840,-0.1667, 0.0000, 0.0000, 0.1667, 0.0000,1,1,1,1.476
56,1,1,464477,0.24133,0.8458,0.15142, 82218,30518,112736,25245,50915,62247, 83184,0.3987,0.1480,0.5467,0.7293,0.7651,0.8171,0.6889,0.6443,0.5754,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.618
56,1,2,372588,0.24133,0.8458,0.08376, 87250,31947,119197,29107,52779,75739, 96493,0.3882,0.1421,0.5303,0.7320,0.7499,0.8038,0.6931,0.6115,0.5526,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.618
56,1,3,415690,0.24133,0.8458,0.14780, 75511,31434,106945,27925,57566,68479, 91322,0.3623,0.1508,0.5131,0.7061,0.7300,0.7930,0.6501,0.6096,0.5394,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.618
56,1,4,318499,0.24133,0.8458,0.05432, 65397,22917, 88314,18843,35936,44772, 59161,0.4223,0.1480,0.5703,0.7405,0.7763,0.8242,0.7108,0.6636,0.5988,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.618
56,1,5,386756,0.24133,0.8458,0.06411, 73460,25090, 98549,25449,50285,62000, 80028,0.3933,0.1343,0.5276,0.7454,0.7427,0.7948,0.6622,0.6138,0.5519,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.618
56,1,6,287055,0.24133,0.8458,0.10872, 39691,12024, 51715,14138,29701,35870, 47190,0.3799,0.1151,0.4950,0.7675,0.7374,0.7853,0.6352,0.5905,0.5229,6,6,6,6,6,0.001283,0.1082,-0.1486,-0.2535,-0.3840, 0.1667, 0.0000, 0.0000, 0.1667, 0.1667,0,1,1,1.618
58,1,1,415690,0.24747,0.8625,0.14780, 75511,31434,106945,27925,57566,68479, 91322,0.3623,0.1508,0.5131,0.7061,0.7300,0.7930,0.6501,0.6096,0.5394,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
58,1,2,318218,0.24747,0.8625,0.10074, 62176,23553, 85729,17679,36071,44413, 58621,0.4096,0.1552,0.5648,0.7253,0.7787,0.8291,0.7039,0.6587,0.5939,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
58,1,3,315341,0.24747,0.8625,0.13409, 54343,18659, 73001,19882,39955,48851, 62370,0.3832,0.1316,0.5148,0.7444,0.7322,0.7860,0.6463,0.5991,0.5393,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
58,1,4,281579,0.24747,0.8625,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
58,1,5,453801,0.24747,0.8625,0.13520, 66501,21461, 87962,23487,47918,57948, 77288,0.3816,0.1232,0.5048,0.7560,0.7390,0.7893,0.6474,0.6029,0.5323,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
58,1,6,460436,0.24747,0.8625,0.04502, 90832,31439,122271,27194,51729,66824, 88326,0.4109,0.1422,0.5531,0.7429,0.7696,0.8181,0.7027,0.6466,0.5806,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
59,1,1,415690,0.24747,0.8625,0.14780, 75511,31434,106945,27925,57566,68479, 91322,0.3623,0.1508,0.5131,0.7061,0.7300,0.7930,0.6501,0.6096,0.5394,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
59,1,2,318218,0.24747,0.8625,0.10074, 62176,23553, 85729,17679,36071,44413, 58621,0.4096,0.1552,0.5648,0.7253,0.7787,0.8291,0.7039,0.6587,0.5939,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
59,1,3,315341,0.24747,0.8625,0.13409, 54343,18659, 73001,19882,39955,48851, 62370,0.3832,0.1316,0.5148,0.7444,0.7322,0.7860,0.6463,0.5991,0.5393,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
59,1,4,281579,0.24747,0.8625,0.08518, 74164,27385,101549,24541,43943,62593, 79449,0.3942,0.1455,0.5397,0.7304,0.7514,0.8054,0.6980,0.6187,0.5611,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
59,1,5,453801,0.24747,0.8625,0.13520, 66501,21461, 87962,23487,47918,57948, 77288,0.3816,0.1232,0.5048,0.7560,0.7390,0.7893,0.6474,0.6029,0.5323,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
59,1,6,460436,0.24747,0.8625,0.04502, 90832,31439,122271,27194,51729,66824, 88326,0.4109,0.1422,0.5531,0.7429,0.7696,0.8181,0.7027,0.6466,0.5806,6,6,6,6,6,0.001287,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.1667, 0.0000,0,1,1,1.635
62,1,1,450653,0.20438,0.8458,0.10788, 80584,30829,111413,26250,53741,64576, 86447,0.3868,0.1480,0.5348,0.7233,0.7543,0.8093,0.6746,0.6331,0.5631,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.0000,-0.1667,0,1,1,1.459
62,1,2,308942,0.20438,0.8458,0.12700, 61671,24399, 86070,22621,40763,60628, 76774,0.3629,0.1436,0.5065,0.7165,0.7317,0.7919,0.6786,0.5867,0.5285,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.0000,-0.1667,0,1,1,1.459
62,1,3,398845,0.20438,0.8458,0.05783, 84666,27594,112260,28220,55095,68158, 87959,0.4048,0.1319,0.5368,0.7542,0.7500,0.7991,0.6708,0.6222,0.5607,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.0000,-0.1667,0,1,1,1.459
62,1,4,311090,0.20438,0.8458,0.06785, 66115,22356, 88472,19961,39088,47996, 62656,0.4171,0.1411,0.5582,0.7473,0.7681,0.8159,0.6936,0.6483,0.5854,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.0000,-0.1667,0,1,1,1.459
62,1,5,343818,0.20438,0.8458,0.16407, 55289,17192, 72481,18688,38924,47478, 62142,0.3899,0.1212,0.5111,0.7628,0.7474,0.7950,0.6506,0.6042,0.5384,6,6,6,6,6,0.001285,0.1082,-0.1486,-0.2535,-0.3840, 0.0000, 0.0000, 0.0000, 0.0000,-0.1667,0,1,1,1.459
